Datetime,Ambient Temperature [ºC],Diffuse Radiation [W/m2],Ultraviolet [W/m2],Global Radiation [W/m2],Datetime.year,Datetime.month,Datetime.day-of-month,Datetime.day-of-week,Datetime.hour,Datetime.minute,Datetime.second,A_Optimal - Power DC [W]
2016-12-31T23:00:00Z,6.333334,1.668379,0.50318,1.684853,2016,12,31,6,23,0,0,79.22268
2016-12-31T23:01:00Z,6.3,1.654411,0.501983,1.761459,2016,12,31,6,23,1,0,79.3961
2016-12-31T23:02:00Z,6.216667,1.76208,0.501479,1.854881,2016,12,31,6,23,2,0,79.7899
2016-12-31T23:03:00Z,6.200001,1.852262,0.502983,2.181408,2016,12,31,6,23,3,0,79.97314
2016-12-31T23:04:00Z,6.166667,1.854176,0.505693,2.246283,2016,12,31,6,23,4,0,80.13455
2016-12-31T23:05:00Z,6.1,2.473877,0.507793,2.645222,2016,12,31,6,23,5,0,80.5568
2016-12-31T23:06:00Z,6.066667,1.850816,0.511402,2.250941,2016,12,31,6,23,6,0,80.55709
2016-12-31T23:07:00Z,6.0,2.481721,0.512099,2.770859,2016,12,31,6,23,7,0,81.02454
2016-12-31T23:08:00Z,5.933333,2.076635,0.512603,2.200755,2016,12,31,6,23,8,0,81.11303
2016-12-31T23:09:00Z,5.9,2.02978,0.512603,2.365055,2016,12,31,6,23,9,0,81.31486
2016-12-31T23:10:00Z,5.9,1.76925,0.512003,1.832886,2016,12,31,6,23,10,0,81.13023
2016-12-31T23:11:00Z,5.9,1.994343,0.510906,1.944808,2016,12,31,6,23,11,0,81.17108
2016-12-31T23:12:00Z,5.9,2.071368,0.511599,2.591775,2016,12,31,6,23,12,0,81.39623
2016-12-31T23:13:00Z,5.9,2.058014,0.510906,1.965811,2016,12,31,6,23,13,0,81.17828
2016-12-31T23:14:00Z,5.9,2.058781,0.509297,1.932407,2016,12,31,6,23,14,0,81.16981
2016-12-31T23:15:00Z,5.9,1.638231,0.507789,1.823467,2016,12,31,6,23,15,0,81.13575
2016-12-31T23:16:00Z,5.9,1.861384,0.507991,1.719814,2016,12,31,6,23,16,0,81.09844
2016-12-31T23:17:00Z,5.9,1.658956,0.508293,1.702725,2016,12,31,6,23,17,0,81.09236
2016-12-31T23:18:00Z,5.9,1.65025,0.506096,1.611468,2016,12,31,6,23,18,0,81.06482
2016-12-31T23:19:00Z,5.9,1.64894,0.506592,1.822105,2016,12,31,6,23,19,0,81.13765
2016-12-31T23:20:00Z,5.8,1.659339,0.504693,1.786142,2016,12,31,6,23,20,0,81.56123
2016-12-31T23:21:00Z,5.866667,1.861833,0.503882,1.858903,2016,12,31,6,23,21,0,81.29958
2016-12-31T23:22:00Z,5.9,1.644712,0.503781,1.390935,2016,12,31,6,23,22,0,80.99221
2016-12-31T23:23:00Z,5.85,1.647691,0.503579,1.757944,2016,12,31,6,23,23,0,81.33742
2016-12-31T23:24:00Z,5.8,1.640562,0.502185,1.759925,2016,12,31,6,23,24,0,81.55714
2016-12-31T23:25:00Z,5.8,1.645705,0.50169,1.658553,2016,12,31,6,23,25,0,81.52259
2016-12-31T23:26:00Z,5.8,1.644853,0.500681,1.55377,2016,12,31,6,23,26,0,81.4879
2016-12-31T23:27:00Z,5.8,1.648574,0.499673,1.625729,2016,12,31,6,23,27,0,81.51514
2016-12-31T23:28:00Z,5.8,1.656485,0.506394,1.447179,2016,12,31,6,23,28,0,81.43902
2016-12-31T23:29:00Z,5.8,1.655588,0.509109,1.549151,2016,12,31,6,23,29,0,81.4693
2016-12-31T23:30:00Z,5.733334,1.665332,0.508306,1.619457,2016,12,31,6,23,30,0,81.78378
2016-12-31T23:31:00Z,5.616667,1.659298,0.507714,1.84119,2016,12,31,6,23,31,0,82.36716
2016-12-31T23:32:00Z,5.483334,1.860015,0.506504,1.837947,2016,12,31,6,23,32,0,82.94445
2016-12-31T23:33:00Z,5.366667,2.054656,0.505197,2.467137,2016,12,31,6,23,33,0,83.67155
2016-12-31T23:34:00Z,5.283334,2.465331,0.503694,2.586945,2016,12,31,6,23,34,0,84.07582
2016-12-31T23:35:00Z,5.200001,2.450283,0.502996,2.573443,2016,12,31,6,23,35,0,84.43286
2016-12-31T23:36:00Z,5.1,2.054431,0.503202,2.744835,2016,12,31,6,23,36,0,84.92593
2016-12-31T23:37:00Z,5.1,2.670127,0.50169,2.622449,2016,12,31,6,23,37,0,84.88449
2016-12-31T23:38:00Z,5.1,2.456627,0.501891,2.642417,2016,12,31,6,23,38,0,84.89163
2016-12-31T23:39:00Z,5.1,2.329694,0.502996,2.748736,2016,12,31,6,23,39,0,84.927
2016-12-31T23:40:00Z,5.033334,2.256906,0.509131,2.636461,2016,12,31,6,23,40,0,85.16375
2016-12-31T23:41:00Z,4.983333,1.826271,0.508126,1.82483,2016,12,31,6,23,41,0,85.09863
2016-12-31T23:42:00Z,4.9,1.665136,0.507026,2.356753,2016,12,31,6,23,42,0,85.648
2016-12-31T23:43:00Z,4.866667,1.635983,0.506324,2.055295,2016,12,31,6,23,43,0,85.68797
2016-12-31T23:44:00Z,4.8,1.641097,0.504014,1.853919,2016,12,31,6,23,44,0,85.91029
2016-12-31T23:45:00Z,4.733334,1.643481,0.502817,2.029349,2016,12,31,6,23,45,0,86.26243
2016-12-31T23:46:00Z,4.700001,1.847626,0.501703,2.138772,2016,12,31,6,23,46,0,86.44662
