Datetime,Ambient Temperature [ºC],Diffuse Radiation [W/m2],Ultraviolet [W/m2],Global Radiation [W/m2],Datetime.year,Datetime.month,Datetime.day-of-month,Datetime.day-of-week,Datetime.hour,Datetime.minute,Datetime.second,B_Optimal - Power DC [W]
2016-12-31T23:00:00Z,6.333334,1.668379,0.50318,1.684853,2016,12,31,6,23,0,0,74.14848
2016-12-31T23:01:00Z,6.3,1.654411,0.501983,1.761459,2016,12,31,6,23,1,0,74.31354
2016-12-31T23:02:00Z,6.216667,1.76208,0.501479,1.854881,2016,12,31,6,23,2,0,74.68939
2016-12-31T23:03:00Z,6.200001,1.852262,0.502983,2.181408,2016,12,31,6,23,3,0,74.85876
2016-12-31T23:04:00Z,6.166667,1.854176,0.505693,2.246283,2016,12,31,6,23,4,0,75.01474
2016-12-31T23:05:00Z,6.1,2.473877,0.507793,2.645222,2016,12,31,6,23,5,0,75.40549
2016-12-31T23:06:00Z,6.066667,1.850816,0.511402,2.250941,2016,12,31,6,23,6,0,75.42582
2016-12-31T23:07:00Z,6.0,2.481721,0.512099,2.770859,2016,12,31,6,23,7,0,75.85652
2016-12-31T23:08:00Z,5.933333,2.076635,0.512603,2.200755,2016,12,31,6,23,8,0,75.96039
2016-12-31T23:09:00Z,5.9,2.02978,0.512603,2.365055,2016,12,31,6,23,9,0,76.15224
2016-12-31T23:10:00Z,5.9,1.76925,0.512003,1.832886,2016,12,31,6,23,10,0,75.98904
2016-12-31T23:11:00Z,5.9,1.994343,0.510906,1.944808,2016,12,31,6,23,11,0,76.02197
2016-12-31T23:12:00Z,5.9,2.071368,0.511599,2.591775,2016,12,31,6,23,12,0,76.22462
2016-12-31T23:13:00Z,5.9,2.058014,0.510906,1.965811,2016,12,31,6,23,13,0,76.0275
2016-12-31T23:14:00Z,5.9,2.058781,0.509297,1.932407,2016,12,31,6,23,14,0,76.01901
2016-12-31T23:15:00Z,5.9,1.638231,0.507789,1.823467,2016,12,31,6,23,15,0,75.99384
2016-12-31T23:16:00Z,5.9,1.861384,0.507991,1.719814,2016,12,31,6,23,16,0,75.95684
2016-12-31T23:17:00Z,5.9,1.658956,0.508293,1.702725,2016,12,31,6,23,17,0,75.95458
2016-12-31T23:18:00Z,5.9,1.65025,0.506096,1.611468,2016,12,31,6,23,18,0,75.92869
2016-12-31T23:19:00Z,5.9,1.64894,0.506592,1.822105,2016,12,31,6,23,19,0,75.99478
2016-12-31T23:20:00Z,5.8,1.659339,0.504693,1.786142,2016,12,31,6,23,20,0,76.40266
2016-12-31T23:21:00Z,5.866667,1.861833,0.503882,1.858903,2016,12,31,6,23,21,0,76.14523
2016-12-31T23:22:00Z,5.9,1.644712,0.503781,1.390935,2016,12,31,6,23,22,0,75.86195
2016-12-31T23:23:00Z,5.85,1.647691,0.503579,1.757944,2016,12,31,6,23,23,0,76.1869
2016-12-31T23:24:00Z,5.8,1.640562,0.502185,1.759925,2016,12,31,6,23,24,0,76.39796
2016-12-31T23:25:00Z,5.8,1.645705,0.50169,1.658553,2016,12,31,6,23,25,0,76.36641
2016-12-31T23:26:00Z,5.8,1.644853,0.500681,1.55377,2016,12,31,6,23,26,0,76.33455
2016-12-31T23:27:00Z,5.8,1.648574,0.499673,1.625729,2016,12,31,6,23,27,0,76.35859
2016-12-31T23:28:00Z,5.8,1.656485,0.506394,1.447179,2016,12,31,6,23,28,0,76.29314
2016-12-31T23:29:00Z,5.8,1.655588,0.509109,1.549151,2016,12,31,6,23,29,0,76.32192
2016-12-31T23:30:00Z,5.733334,1.665332,0.508306,1.619457,2016,12,31,6,23,30,0,76.62305
2016-12-31T23:31:00Z,5.616667,1.659298,0.507714,1.84119,2016,12,31,6,23,31,0,77.18063
2016-12-31T23:32:00Z,5.483334,1.860015,0.506504,1.837947,2016,12,31,6,23,32,0,77.73364
2016-12-31T23:33:00Z,5.366667,2.054656,0.505197,2.467137,2016,12,31,6,23,33,0,78.4177
2016-12-31T23:34:00Z,5.283334,2.465331,0.503694,2.586945,2016,12,31,6,23,34,0,78.79789
2016-12-31T23:35:00Z,5.200001,2.450283,0.502996,2.573443,2016,12,31,6,23,35,0,79.14227
2016-12-31T23:36:00Z,5.1,2.054431,0.503202,2.744835,2016,12,31,6,23,36,0,79.62021
2016-12-31T23:37:00Z,5.1,2.670127,0.50169,2.622449,2016,12,31,6,23,37,0,79.57263
2016-12-31T23:38:00Z,5.1,2.456627,0.501891,2.642417,2016,12,31,6,23,38,0,79.58243
2016-12-31T23:39:00Z,5.1,2.329694,0.502996,2.748736,2016,12,31,6,23,39,0,79.61689
2016-12-31T23:40:00Z,5.033334,2.256906,0.509131,2.636461,2016,12,31,6,23,40,0,79.8526
2016-12-31T23:41:00Z,4.983333,1.826271,0.508126,1.82483,2016,12,31,6,23,41,0,79.81289
2016-12-31T23:42:00Z,4.9,1.665136,0.507026,2.356753,2016,12,31,6,23,42,0,80.33311
2016-12-31T23:43:00Z,4.866667,1.635983,0.506324,2.055295,2016,12,31,6,23,43,0,80.37805
2016-12-31T23:44:00Z,4.8,1.641097,0.504014,1.853919,2016,12,31,6,23,44,0,80.59518
2016-12-31T23:45:00Z,4.733334,1.643481,0.502817,2.029349,2016,12,31,6,23,45,0,80.93024
2016-12-31T23:46:00Z,4.700001,1.847626,0.501703,2.138772,2016,12,31,6,23,46,0,81.10177
2016-12-31T23:47:00Z,4.700001,1.656691,0.507241,1.784256,2016,12,31,6,23,47,0,80.98561
2016-12-31T23:48:00Z,4.65,1.643996,0.50785,1.823266,2016,12,31,6,23,48,0,81.20589
2016-12-31T23:49:00Z,4.666667,1.655258,0.508859,1.514235,2016,12,31,6,23,49,0,81.03701
2016-12-31T23:50:00Z,4.700001,1.643058,0.505952,1.749095,2016,12,31,6,23,50,0,80.9764
2016-12-31T23:51:00Z,4.65,1.858143,0.506254,1.802256,2016,12,31,6,23,51,0,81.19757
2016-12-31T23:52:00Z,4.6,2.265007,0.504746,2.45564,2016,12,31,6,23,52,0,81.60783
2016-12-31T23:53:00Z,4.6,1.956848,0.503141,2.326573,2016,12,31,6,23,53,0,81.57445
2016-12-31T23:54:00Z,4.700001,1.848543,0.501843,2.16757,2016,12,31,6,23,54,0,81.11069
2016-12-31T23:55:00Z,4.700001,2.060261,0.50835,2.262637,2016,12,31,6,23,55,0,81.12861
2016-12-31T23:56:00Z,4.733333,2.062106,0.507745,2.167739,2016,12,31,6,23,56,0,80.96032
2016-12-31T23:57:00Z,4.8,1.664005,0.50596,2.265272,2016,12,31,6,23,57,0,80.72252
2016-12-31T23:58:00Z,4.8,2.256166,0.504654,2.383967,2016,12,31,6,23,58,0,80.75144
2016-12-31T23:59:00Z,4.8,1.944403,0.503233,2.044916,2016,12,31,6,23,59,0,80.65137
2017-01-01T00:00:00Z,4.8,1.625103,0.50244,1.95276,2017,1,1,7,0,0,0,39.30053
2017-01-01T00:01:00Z,4.8,1.800772,0.500541,1.772977,2017,1,1,7,0,1,0,39.24298
2017-01-01T00:02:00Z,4.8,1.635162,0.500335,1.772619,2017,1,1,7,0,2,0,39.24604
2017-01-01T00:03:00Z,4.8,1.645479,0.49923,1.945643,2017,1,1,7,0,3,0,39.3021
2017-01-01T00:04:00Z,4.8,1.635052,0.50115,1.869082,2017,1,1,7,0,4,0,39.27553
2017-01-01T00:05:00Z,4.816667,1.634795,0.502045,1.678577,2017,1,1,7,0,5,0,39.14453
2017-01-01T00:06:00Z,4.9,1.647156,0.503847,1.608334,2017,1,1,7,0,6,0,38.77224
2017-01-01T00:07:00Z,4.9,1.639031,0.505662,1.72595,2017,1,1,7,0,7,0,38.80727
2017-01-01T00:08:00Z,4.9,1.634967,0.50586,1.824262,2017,1,1,7,0,8,0,38.83822
2017-01-01T00:09:00Z,5.0,1.654289,0.504658,1.616306,2017,1,1,7,0,9,0,38.3566
2017-01-01T00:10:00Z,5.0,1.641818,0.504448,1.641627,2017,1,1,7,0,10,0,38.36511
2017-01-01T00:11:00Z,5.0,1.731424,0.503544,1.800977,2017,1,1,7,0,11,0,38.41518
2017-01-01T00:12:00Z,5.0,1.639544,0.503435,1.640191,2017,1,1,7,0,12,0,38.36601
2017-01-01T00:13:00Z,5.0,1.634227,0.503036,1.85349,2017,1,1,7,0,13,0,38.43418
2017-01-01T00:14:00Z,5.0,1.838843,0.502646,1.7396,2017,1,1,7,0,14,0,38.39503
2017-01-01T00:15:00Z,5.0,1.633775,0.500642,1.537836,2017,1,1,7,0,15,0,38.33733
2017-01-01T00:16:00Z,5.0,1.648805,0.512156,1.42306,2017,1,1,7,0,16,0,38.28572
2017-01-01T00:17:00Z,5.0,1.65863,0.510446,1.758844,2017,1,1,7,0,17,0,38.39412
2017-01-01T00:18:00Z,5.0,1.863691,0.50995,1.536166,2017,1,1,7,0,18,0,38.32065
2017-01-01T00:19:00Z,5.0,1.852081,0.50896,2.140681,2017,1,1,7,0,19,0,38.51361
2017-01-01T00:20:00Z,5.0,1.643946,0.508166,1.728283,2017,1,1,7,0,20,0,38.38767
2017-01-01T00:21:00Z,5.0,1.639285,0.508254,1.720932,2017,1,1,7,0,21,0,38.38531
2017-01-01T00:22:00Z,5.0,1.65443,0.506951,1.607104,2017,1,1,7,0,22,0,38.35069
2017-01-01T00:23:00Z,5.0,1.639229,0.507355,1.536382,2017,1,1,7,0,23,0,38.32803
2017-01-01T00:24:00Z,5.0,1.635025,0.506548,1.420785,2017,1,1,7,0,24,0,38.29254
2017-01-01T00:25:00Z,5.0,1.843288,0.505746,1.709934,2017,1,1,7,0,25,0,38.38152
2017-01-01T00:26:00Z,5.0,1.64321,0.505342,1.765069,2017,1,1,7,0,26,0,38.40302
2017-01-01T00:27:00Z,5.0,1.643463,0.505241,1.737465,2017,1,1,7,0,27,0,38.3944
2017-01-01T00:28:00Z,5.0,1.641956,0.504842,1.53211,2017,1,1,7,0,28,0,38.3299
2017-01-01T00:29:00Z,5.0,1.667835,0.503742,1.806922,2017,1,1,7,0,29,0,38.41792
2017-01-01T00:30:00Z,5.0,1.667623,0.510832,2.027135,2017,1,1,7,0,30,0,38.47844
2017-01-01T00:31:00Z,4.933333,1.703115,0.512024,1.923105,2017,1,1,7,0,31,0,38.7213
2017-01-01T00:32:00Z,4.9,1.797924,0.510915,1.653927,2017,1,1,7,0,32,0,38.77483
